定式ID,匹配步数,落子前缀
kj_25589,14,pd nc tt qf nd md ne qc oc mc qd rd nb rb
kj_78676,10,pd tt nc re qe rd rf qf qg pf
kj_27078,7,pd nc qf ne pb tt kd
kj_98558,6,pd nc qf pb qc kc
kj_48541,6,pd nc qf jc tt pg
kj_51815,7,pd nc kc qf pf pg of
kj_63766,10,pd nc tt qf pf pg of qc qe pc
kj_98295,6,pd nc pf pb qc ld
kj_68553,6,pd tt nc pi tt qf
kj_49999,6,pd nc lc ne pf le
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_41010,8,pd nc kd qf ne lc kc ld
kj_53303,6,pc pe qe qf qd pg
kj_79002,8,pd nc qf tt kd pc qc qb
kj_18970,7,pd tt nc rd qf rf qg
kj_19247,7,pc pe qg qc qb qd mc
kj_29298,6,pc pe qg qc mc pd
kj_19562,6,pc qe od tt pf pi
kj_55280,10,pd nc lc ne pf kd oc nb kc jd
kj_53303,6,pc pe qe qf qd pg
kj_82465,8,pc pe qe qf qd pf nc tt
kj_07334,7,pd nc qf pb qc ld tt
kj_93524,6,pd nc qf pb tt qc
kj_68721,6,pd nc qf tt qi tt
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_70243,9,pc pe qe qf qd tt pf tt pg
kj_73249,7,pc qe od tt pf tt qf
kj_96090,6,pd nc qf tt kd kc
kj_53303,6,pc pe qe qf qd pg
kj_23359,7,pd nc qf pb tt qc tt
kj_64152,6,pd nc qf pb lc ne
kj_65701,6,pc pe qe qf qd mf
kj_03907,6,pc pe oe of od pg
kj_64152,6,pd nc qf pb lc ne
kj_65128,13,pd qc pc qd qf rf qg pb ob qb nc qe pe
kj_80275,8,pd nd pf pc qc oc qb nf
kj_70870,7,pc qe ph od pd pe oe
kj_36046,7,pd nc qf pb lc ne qc
kj_16815,7,pd nc oc nd pf tt mf
kj_46642,6,pd nc qf tt md tt
kj_60055,6,pd nc qf ne pb tt
kj_82399,6,pc tt pe qg ph qd
kj_40455,15,pd nc pf qc pc pb ob qb oc re rf qe qf nb oa
kj_66171,6,pd nc qf pg qg ph
kj_28935,7,pd nc pf tt lc ld kc
kj_29298,6,pc pe qg qc mc pd
kj_41157,6,pd nc lc ne qf kd
kj_73335,6,pd nc pf qc pc pb
kj_72352,6,pd nc pf tt kc tt
kj_40708,19,pd nc lc qc qd pc od nd oc ob pb qb nb pa ne mb md na mf
kj_92864,6,pd nc ne pc qc qb
kj_37328,7,pd nc oc nd pf kc pi
kj_29298,6,pc pe qg qc mc pd
kj_67195,13,pd nc kc qc pc qd pe pb ob qb oc qf tt
kj_67224,7,pc qe od tt qh pk pf
kj_87718,7,pd nc ld lc kc kd le
kj_26963,8,pd nc qf tt lc pb qc od
kj_58506,10,pd nc tt qf nd md ne oc pc me
kj_29298,6,pc pe qg qc mc pd
kj_92717,13,pc qe tt od oc nd mc tt qd rd rc pd qc
kj_58112,8,pd tt nc qf qe pf nf oe
kj_56271,7,pd nc pf tt oc nd kd
kj_54125,6,pd nc qf pb lc qc
kj_97242,6,pd tt nc re qe rd
kj_66883,8,pd nc kd pf nd qc oc qd
kj_26207,6,od tt qd mc tt pc
kj_61799,6,pd tt nc qf tt lc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_63266,9,pd nc tt qf of qc qd pc od
kj_88653,8,pc pe qe pd qd oc qc pf
kj_51137,12,pd nc lc qf nd qc qd pc od nb rd rc
kj_96515,7,pc pe qe qf qd pf qj
kj_70789,11,pc pe qe qf qd pf nc tt mf tt pi
kj_83361,7,pc pe qe qf qd pg nd
kj_17901,6,pd nc pf qh tt pi
kj_80369,6,pd nc pf kd tt qh
kj_30758,8,pc qe tt qh qd pe nc tt
kj_93399,7,pd nc lc ne pf pb qc
kj_63722,8,pd nc pf tt lc tt le tt
kj_79130,7,pd nc qf tt lc jc le
kj_93524,6,pd nc qf pb tt qc
kj_65208,11,pc pe qe qf qd pf nc qj ql tt qh
kj_98558,6,pd nc qf pb qc kc
kj_67533,6,pd tt nc qf rd pi
kj_54125,6,pd nc qf pb lc qc
kj_59940,10,pd nc qf qc pc pb ob qb oc re
kj_50773,6,pd nc pf tt oc nd
kj_76119,6,pd nc qf tt pb kd
kj_98558,6,pd nc qf pb qc kc
kj_27813,6,pc qe tt md od pg
kj_15406,6,pd nc ld ne pf jd
kj_74759,6,pc tt qe pf qf ph
kj_17044,6,pd nc ld ne pf id
kj_08420,10,pd tt nd qd qe re pe qc rf ob
kj_18539,8,pd nc oc nd pf qc ob qe
kj_93524,6,pd nc qf pb tt qc
kj_18961,8,pd nc ld ne pf pb qc lb
kj_54243,6,pd nc tt ne tt pf
kj_70407,6,pd tt nc tt kc jc
kj_50893,8,pd nc lc qc qd pc od rc
kj_78090,6,pd nc tt qf ne kc
kj_37920,7,pd nc ld ne pf pb qc
kj_43836,7,pd kd tt nc tt qf oe
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_68518,12,pd nc tt qf pf pg of qd qc qe pb ld
kj_04425,7,pd nc lc ne pf pb le
kj_67302,6,pd nc pf qh tt ne
kj_38162,10,pc qe qi nd od oe nc md mc ld
kj_67376,13,pd nc qf tt kc pc qc qb oc pb od ob rc
kj_97004,7,pc tt qf tt lc tt le
kj_70259,6,pc pe qe qf qd tt
kj_27673,7,pd nc pf qh pi ph oh
kj_25283,6,pc qe tt md od qh
kj_53134,6,pc qe ph tt qd pe
kj_25283,6,pc qe tt md od qh
kj_03748,7,pc tt pe qc qd oc pb
kj_83745,9,pd tt nc rd qd re rc rb qc
kj_34772,7,pd nc lc tt qf tt oc
kj_93524,6,pd nc qf pb tt qc
kj_96773,6,pd nc kd ne pf kf
kj_63987,12,pc qe tt od oc nd mc md lc ld kc kd
kj_55430,6,pd nc pf tt le lc
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_34789,7,pd tt nc qi qg oi tt
kj_09476,6,pd nc qf jc lc tt
kj_18716,11,pc pe qe pd qd oc qf pb qc nd tt
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_55159,8,pd nc lc ne pf kd oc nb
kj_60055,6,pd nc qf ne pb tt
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_19247,7,pc pe qg qc qb qd mc
kj_70789,11,pc pe qe qf qd pf nc tt mf tt pi
kj_81095,6,pc qe tt nd tt pd
kj_81898,6,pd tt nc tt qh tt
kj_56782,7,pd nc qf tt lc tt oc
kj_60055,6,pd nc qf ne pb tt
kj_54125,6,pd nc qf pb lc qc
kj_39947,10,pc pe qe qf qd pf nc qj ql tt
kj_91261,9,pc tt qe oc od nc pb nd oe
kj_39164,7,pd nc qf tt lc tt pc
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_92988,8,pd nc tt oe qf pg qg ph
kj_34772,7,pd nc lc tt qf tt oc
kj_25283,6,pc qe tt md od qh
kj_53134,6,pc qe ph tt qd pe
kj_67195,13,pd nc kc qc pc qd pe pb ob qb oc qf tt
kj_67224,7,pc qe od tt qh pk pf
kj_26963,8,pd nc qf tt lc pb qc od
kj_58506,10,pd nc tt qf nd md ne oc pc me
kj_29298,6,pc pe qg qc mc pd
kj_56271,7,pd nc pf tt oc nd kd
kj_54125,6,pd nc qf pb lc qc
kj_97242,6,pd tt nc re qe rd
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_63266,9,pd nc tt qf of qc qd pc od
kj_88653,8,pc pe qe pd qd oc qc pf
kj_18387,11,pd nc pf tt lc ld kd kc ke lb tt
kj_19036,6,pd tt lc nc nd qc
kj_81075,6,pc qe nd qh qd pe
kj_88583,13,pd qc pc qd qe re qf rf qg pb ob qb nc
kj_23673,6,pc qe nd qc qb rb
kj_56476,6,pc pe nd qc qb qd
kj_37967,8,pd tt nc md nd mf tt jd
kj_97451,6,pd nc pf ne oc nb
kj_42851,9,pc pe tt qc qb qd mc tt qh
kj_54125,6,pd nc qf pb lc qc
kj_84927,8,pd nc tt qf oe qc md qd
kj_84326,6,pd nc lc pf nd md
kj_80192,9,pc qe tt od oc nd mc tt of
kj_98446,9,pc tt qe pf tt qf pe of pj
kj_14862,8,pc tt qf tt lc le tt nc
kj_71324,6,pd nc lc ne pf ke
kj_93423,6,pc qe qd pe nd qh
kj_54557,8,pd tt nc rd rf qc pc qe
kj_68249,6,pd tt nc tt qh lc
kj_60055,6,pd nc qf ne pb tt
kj_93524,6,pd nc qf pb tt qc
kj_55527,10,pc pe qe qf qd pf nc pj pl nk
kj_88780,7,pd nc oc nd qf jd tt
kj_93524,6,pd nc qf pb tt qc
kj_43452,6,pc tt qe tt lc tt
kj_99263,6,pc tt pe qg qi og
kj_59114,13,pc qe tt od oc nd mc tt md tt qd rd rc
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_95141,8,pd nc kd pf nd md ne pc
kj_59940,10,pd nc qf qc pc pb ob qb oc re
kj_17697,7,pd nc qf ne pb tt lc
kj_93524,6,pd nc qf pb tt qc
kj_75682,7,pc pe qe pd qd oc qf
kj_62851,6,pd nc kd ne pf ic
kj_97292,10,pc pe qe qf qd pf nc pj tt le
kj_95196,9,pc pe tt oc ob od nc nb mb
kj_26674,7,pd nc qf tt kc hc pc
kj_34481,6,pd nc lc ld kc qf
kj_00967,20,pd qc pc qd qe re rf qf pe rg rd sf rc tt qh pf of og nf ph
kj_97625,10,pd tt nc re rd qd qe qc rf pe
kj_59089,17,pc qe tt od oc nd mc md lc ld kd ke je nc nb ob mb
kj_13510,9,pc qe tt od oc md nd ne nc
kj_57786,7,pd nc qf tt lc tt ic
kj_77007,7,pd tt nc lc tt re qf
kj_61559,23,pd nc lc qc qd pc od nd oc ob pb qb nb pa ne mb md na mc nb mf le me
kj_92999,7,pd nc kd tt oc nd pf
kj_95890,6,pd tt nc mc tt nd
kj_67257,7,pd nc qf tt oc nd jd
kj_20474,7,pd nc lc tt qf tt ic
kj_56879,6,pd tt nc tt qe pf
kj_38640,7,pc qe ph tt qd pe nd
kj_15298,7,pc qe ph tt qd tt pe
kj_40433,14,pd nc tt qf pf pg of qd qe re pe rg qc rd
kj_50799,9,pc pe qe qf qd pg of pf nd
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_30108,6,pd nc oc nd qf kc
kj_16421,6,pd tt nc ph tt qf
kj_85010,8,pd nc lc tt nd tt mc tt
kj_33277,7,pd tt nc lc ld kd le
kj_50803,8,pc pe qe qf qd pg of pf
kj_30084,8,pc qe pg tt pe pd od qd
kj_84533,7,pc qe tt nd od nc pf
kj_80645,9,pd tt nc re rd qe qd qi tt
kj_81987,10,pc qe od tt pf qg tt pg tt ng
kj_10620,8,pd nc qf pb tt qh qc ne
kj_70679,6,pc qe qd pe od qi
kj_47660,13,pc qe tt nd od oe nc md mc ld lc kd jc
kj_53303,6,pc pe qe qf qd pg
kj_52117,7,pd nc oc nd pf kd he
kj_50352,10,pd nc qf tt lc ld kd ke kc md
kj_83361,7,pc pe qe qf qd pg nd
kj_29631,6,pc qe od tt pf kd
kj_46674,7,pd tt nc tt qe lc tt
kj_51752,6,pd nc lc pg nd qc
kj_98322,6,pd nc lc ld kc ne
kj_98960,7,pd nc qf pb lc qc nd
kj_84151,7,pd tt mc qd qe re pe
kj_54125,6,pd nc qf pb lc qc
kj_47606,8,pd tt nc qd qc rc qe rd
kj_53303,6,pc pe qe qf qd pg
kj_19686,6,pd nc qf tt kd ne
kj_92402,10,pc qe nd lc tt pd oc qc qb rc
kj_54125,6,pd nc qf pb lc qc
kj_36831,13,pd nc pf qc pc pb ob qb nb re rf qe qf
kj_98150,13,pc qe tt od oc nd mc md lc ld tt nc nb
kj_74848,6,pd tt nc lc tt le
kj_62812,8,pd nc qf pb lc ne qc jc
kj_58702,8,pc pe qe qf qd tt pf tt
kj_29298,6,pc pe qg qc mc pd
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_67257,7,pd nc qf tt oc nd jd
kj_57123,7,pd tt nc re qd qh qf
kj_01447,8,pd nc qf pb lc qc nd md
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_64430,8,pd nc qf ne tt qc pc pb
kj_39823,12,pd tt nc lc tt re rd qd qe qc rc pc
kj_13318,7,pd nc qf pb mc md lc
kj_42776,7,pd nc kc pf nd qc qd
kj_98108,6,pc tt qf nc tt qh
kj_60998,6,pd nc qf pb tt qh
kj_65701,6,pc pe qe qf qd mf
kj_14420,7,pd tt nc tt qe mc md
kj_95159,7,pd tt nc tt qh qf oh
kj_56118,9,pd nc oc nd pf kd nb mb ob
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_32179,6,pd nc qf pb qi tt
kj_75682,7,pc pe qe pd qd oc qf
kj_73909,6,pd nc qf ne oc nb
kj_81898,6,pd tt nc tt qh tt
kj_67939,7,pd tt mc ld lc jd tt
kj_20713,7,pd nc pf ne oc nb tt
kj_28918,15,pd nc qf tt lc pc qc qb oc pb od ob rc nd tt
kj_87755,7,pc pe qg qc qb qd ob
